"Longitude","Latitude","Flow (lbs/sec)","Time (sec)","Cycles (sec)","Distance (inches)","Swath (inches)","GM_pc","Pass Status","Pass Number","Serial Number","Field ID","Load ID","Grain","Variety","Flag Number","GY_ba"
-89.36,43.3,0,1225713812,1,0,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,"#DIV/0!"
-89.36,43.3,0,1225713813,1,0,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,"#DIV/0!"
-89.36,43.3,0,1225713814,1,0,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,"#DIV/0!"
-89.36,43.3,0,1225713815,1,0,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,"#DIV/0!"
-89.36,43.3,0,1225713816,1,0,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,"#DIV/0!"
-89.36,43.3,0,1225713817,1,10,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,0
-89.36,43.3,0,1225713818,1,36,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,0
-89.36,43.3,4.1,1225713819,1,38,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.33,79.39
-89.36,43.3,8.6,1225713820,1,49,180,0.09,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,129.14
-89.36,43.3,11.8,1225713821,1,49,180,12.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,154.66
-89.36,43.3,13.7,1225713822,1,49,180,25.49,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,153.42
-89.36,43.3,16.1,1225713823,1,49,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,174.24
-89.36,43.3,16.1,1225713824,1,51,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,167.41
-89.36,43.3,18.9,1225713825,1,51,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,196.52
-89.36,43.3,17.1,1225713826,1,51,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,177.81
-89.36,43.3,15.7,1225713827,1,51,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052,163.25
-89.36,43.3,20.4,1225713828,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,208.04
-89.36,43.3,19.3,1225713829,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,196.82
-89.36,43.3,19.2,1225713830,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,195.81
-89.36,43.3,19.8,1225713831,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,201.92
-89.36,43.3,18.7,1225713832,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,190.71
-89.36,43.3,18.4,1225713833,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,187.65
-89.36,43.3,17.6,1225713834,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,179.49
-89.36,43.3,16.4,1225713835,1,52,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,167.25
-89.36,43.3,22,1225713836,1,50,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,233.33
-89.36,43.3,19.4,1225713837,1,51,180,27.99,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,201.72
-89.36,43.3,18.2,1225713838,1,51,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,195.03
-89.36,43.3,23.3,1225713839,1,51,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,249.68
-89.36,43.3,19.5,1225713840,1,51,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,208.96
-89.36,43.3,19.5,1225713841,1,51,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,208.96
-89.36,43.3,26.5,1225713842,1,52,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,278.51
-89.36,43.3,22.3,1225713843,1,52,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,234.37
-89.36,43.3,20.9,1225713844,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,211.52
-89.36,43.3,20.8,1225713845,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,210.51
-89.36,43.3,20.6,1225713846,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,212.42
-89.36,43.3,21.9,1225713847,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.58,225.82
-89.36,43.3,19.5,1225713848,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,197.35
-89.36,43.3,17.8,1225713849,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,180.14
-89.36,43.3,24,1225713850,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,247.47
-89.36,43.3,22.3,1225713851,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,229.95
-89.36,43.3,20.1,1225713852,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,203.42
-89.36,43.3,26.7,1225713853,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,275.32
-89.36,43.3,20.8,1225713854,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1051.92,214.48
-89.36,43.3,18.6,1225713855,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,191.79
-89.36,43.3,23.3,1225713856,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,235.81
-89.36,43.3,21.1,1225713857,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,213.54
-89.36,43.3,22,1225713858,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,226.85
-89.36,43.3,23.6,1225713859,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,238.84
-89.36,43.3,25,1225713860,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,253.01
-89.36,43.3,25.9,1225713861,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,267.07
-89.36,43.3,18.2,1225713862,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,187.67
-89.36,43.3,10.9,1225713863,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.25,110.31
-89.36,43.3,0,1225713864,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713865,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713866,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713867,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713868,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713869,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1052.67,0
-89.36,43.3,0,1225713870,1,54,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,0
-89.36,43.3,0,1225713871,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,0
-89.36,43.3,0,1225713872,1,53,180,25.79,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,0
-89.36,43.3,0,1225713873,1,0,180,25.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713874,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713875,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713876,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713877,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713878,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713879,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713880,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
-89.36,43.3,0,1225713881,1,0,180,25.71,0,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1053.08,"#DIV/0!"
