#"Longitude","Latitude","Flow (lbs/sec)","Time (sec)","Cycles (sec)","Distance (inches)","Swath (inches)","GM_pc","Pass Status","Pass Number","Serial Number","Field ID","Load ID","Grain","Variety","Flag Number","GY_ba"
-89.358014,43.297852,0,1162828248,1,0,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,"#DIV/0!"
-89.358014,43.297852,2.1,1162828249,1,0,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,"#DIV/0!"
-89.358014,43.297852,1.7,1162828250,1,0,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,"#DIV/0!"
-89.358014,43.297852,1.7,1162828251,1,7,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,137.158504528439
-89.358014,43.297846,1.5,1162828252,1,17,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,49.8326746556611
-89.358017,43.297841,1.5,1162828253,1,19,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029,44.5871299550652
-89.35802,43.297838,1.5,1162828254,1,19,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029,44.5871299550652
-89.358022,43.29783,2.2,1162828255,1,28,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,44.3748102886125
-89.358025,43.297824,6.8,1162828256,1,28,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,137.158504528439
-89.358028,43.297816,11.2,1162828257,1,38,180,23.31,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,166.45861849891
-89.358031,43.297805,12.3,1162828258,1,42,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,155.90755754136
-89.358031,43.297794,13.7,1162828259,1,49,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,148.845542739835
-89.358031,43.29778,14.4,1162828260,1,49,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,156.450789449169
-89.358033,43.297769,14.2,1162828261,1,51,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,148.227749589777
-89.358033,43.297755,15.7,1162828262,1,50,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,167.163322671175
-89.358033,43.297744,14.3,1162828263,1,51,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,149.271606981254
-89.358036,43.29773,18,1162828264,1,52,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,184.280977956954
-89.358036,43.297716,15.7,1162828265,1,52,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,160.733964106899
-89.358036,43.297705,13.6,1162828266,1,54,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,134.077682727529
-89.358036,43.297688,16.8,1162828267,1,56,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,159.710180896027
-89.358036,43.297674,16,1162828268,1,58,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,146.859936456117
-89.358036,43.29766,15.4,1162828269,1,58,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,141.352688839012
-89.358036,43.297646,17.4,1162828270,1,57,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,162.512113894203
-89.358036,43.297633,16.1,1162828271,1,57,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,150.370404235441
-89.358036,43.297619,16.2,1162828272,1,58,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,148.695685661818
-89.358039,43.297605,15.7,1162828273,1,57,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,146.634493571206
-89.358039,43.297588,16.4,1162828274,1,58,180,27.71,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,150.53143486752
-89.358039,43.297574,18.9,1162828275,1,58,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,185.237100183636
-89.358039,43.297563,17.6,1162828276,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,175.522168260889
-89.358039,43.297546,17.5,1162828277,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,174.524883213952
-89.358039,43.297533,21.4,1162828278,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,213.41900004449
-89.358039,43.297521,19.9,1162828279,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,198.459724340437
-89.358039,43.297508,17,1162828280,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,169.538457979268
-89.358039,43.297494,24.3,1162828281,1,58,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,238.161985950389
-89.358039,43.29748,20.6,1162828282,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,205.440719668995
-89.358039,43.297466,20,1162828283,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,199.457009387374
-89.358042,43.297452,20.5,1162828284,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,204.443434622058
-89.358042,43.297435,19.5,1162828285,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,194.470584152689
-89.358042,43.297421,18.9,1162828286,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,188.486873871068
-89.358042,43.297408,18.7,1162828287,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,186.492303777194
-89.358042,43.297396,16.4,1162828288,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.17,163.554747697646
-89.358042,43.297383,19.5,1162828289,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.5,194.470584152689
-89.358042,43.297369,18.3,1162828290,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,182.503163589447
-89.358045,43.297355,16.6,1162828291,1,57,180,22.81,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,165.54931779152
-89.358045,43.297341,20,1162828292,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,200.490599279263
-89.358045,43.297327,17.6,1162828293,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,176.431727365752
-89.358047,43.297313,15.4,1162828294,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,154.377761445033
-89.358047,43.297299,19.9,1162828295,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029,199.488146282867
-89.358047,43.297285,19,1162828296,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029,190.4660693153
-89.358047,43.297271,18.3,1162828297,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,183.448898340526
-89.358047,43.297258,18.9,1162828298,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,189.463616318904
-89.358047,43.297244,19.4,1162828299,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,194.475881300885
-89.358047,43.29723,18.7,1162828300,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.58,187.458710326111
-89.358047,43.297216,18.7,1162828301,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,187.458710326111
-89.358047,43.297202,16.2,1162828302,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1028.92,162.397385416203
-89.358047,43.297188,20.7,1162828303,1,57,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.25,207.507770254037
-89.358047,43.297174,16.7,1162828304,1,55,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.67,173.497274049028
-89.35805,43.297163,15.8,1162828305,1,56,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.67,161.215922956165
-89.35805,43.297149,18,1162828306,1,56,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.67,183.663709696897
-89.35805,43.297135,16.9,1162828307,1,56,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.33,172.439816326531
-89.35805,43.297121,15.9,1162828308,1,56,180,22.41,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.33,162.236276898925
-89.35805,43.297108,19.2,1162828309,1,56,180,22.11,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029.33,196.665430745079
-89.35805,43.297094,16.6,1162828310,1,55,180,22.11,1,1,112028,"F1: 339","L1: ","Corn","Corn Mix",1029,173.125174640744
