DA	H2	7.64	0.39
DA	H61	6.95	0.84
DA	H62	6.60	0.70
DA	H8	8.17	0.19
DA	H1'	6.07	0.24
DA	H2'	2.63	0.19
DA	H2''	2.78	0.19
DA	H3'	4.96	0.14
DA	H4'	4.32	0.30
DA	H5'	4.04	0.25
DA	H5''	4.04	0.20
DA	C2	155.14	0.68
DA	C8	141.71	0.59
DA	C1'	85.49	0.62
DA	C2'	40.46	0.88
DA	C3'	78.67	1.31
DA	C4'	87.38	0.62
DA	C5'	68.26	0.53
DA	N1	226.10	1.27
DA	N3	216.35	0.07
DA	N6	80.15	1.35
DA	N7	233.50	0.00
DA	P	-3.48	11.61
DC	H41	7.52	0.84
DC	H42	7.29	0.81
DC	H5	5.59	0.36
DC	H6	7.51	0.25
DC	H1'	5.91	0.30
DC	H2'	2.10	0.22
DC	H2''	2.36	0.20
DC	H3'	4.74	0.18
DC	H4'	4.12	0.36
DC	H5'	4.00	0.29
DC	H5''	4.01	0.23
DC	C5	98.75	0.40
DC	C6	143.41	0.57
DC	C1'	87.76	0.81
DC	C2'	40.78	0.66
DC	C3'	77.44	1.62
DC	C4'	86.02	1.22
DC	C5'	65.30	4.62
DC	N4	97.44	1.07
DC	P	2.78	16.22
DG	H1	12.50	0.63
DG	H21	8.06	1.36
DG	H22	6.79	0.71
DG	H8	7.79	0.21
DG	H1'	5.86	0.26
DG	H2'	2.61	0.22
DG	H2''	2.65	0.18
DG	H3'	4.91	0.14
DG	H4'	4.31	0.17
DG	H5'	4.07	0.22
DG	H5''	4.07	0.21
DG	C8	138.97	0.90
DG	C1'	85.53	0.74
DG	C2'	40.33	1.05
DG	C3'	78.14	1.64
DG	C4'	87.22	1.11
DG	C5'	67.45	1.61
DG	N1	147.04	0.28
DG	N2	75.38	0.22
DG	N7	236.93	0.06
DG	P	3.11	15.91
DT	H3	13.51	0.67
DT	H6	7.35	0.30
DT	H7	1.54	0.24
DT	H1'	5.96	0.26
DT	H2'	2.11	0.21
DT	H2''	2.39	0.19
DT	H3'	4.81	0.15
DT	H4'	4.11	0.30
DT	H5'	4.00	0.29
DT	H5''	4.01	0.20
DT	C6	139.38	0.45
DT	C7	14.49	0.16
DT	C1'	87.22	0.65
DT	C2'	40.20	0.64
DT	C3'	77.52	1.56
DT	C4'	86.18	0.96
DT	C5'	66.71	1.34
DT	N3	159.32	0.75
DT	P	4.26	15.35
