# Data: list of atoms available for DNA deltashift visualizations.
# Schema: bmrb-NAAtomList
# Attributes: nucleotide; atom_name; attribute
# $Id$
#
All	C1'	$C1p_DeltaShift
All	C2	$C2_DeltaShift
All	C2'	$C2p_DeltaShift
All	C3'	$C3p_DeltaShift
All	C4'	$C4p_DeltaShift
All	C5	$C5_DeltaShift
All	C5'	$C5p_DeltaShift
All	C6	$C6_DeltaShift
All	C7	$C7_DeltaShift
All	C8	$C8_DeltaShift
All	H1	$H1_DeltaShift
All	H1'	$H1p_DeltaShift
All	H2	$H2_DeltaShift
All	H2'	$H2p_DeltaShift
All	H2''	$H2pp_DeltaShift
All	H21	$H21_DeltaShift
All	H22	$H22_DeltaShift
All	H3	$H3_DeltaShift
All	H3'	$H3p_DeltaShift
All	H4'	$H4p_DeltaShift
All	H41	$H41_DeltaShift
All	H42	$H42_DeltaShift
All	H5	$H5_DeltaShift
All	H5'	$H5p_DeltaShift
All	H5''	$H5pp_DeltaShift
All	H6	$H6_DeltaShift
All	H61	$H61_DeltaShift
All	H62	$H62_DeltaShift
All	H7	$H7_DeltaShift
All	H71	$H71_DeltaShift
All	H72	$H72_DeltaShift
All	H73	$H73_DeltaShift
All	H8	$H8_DeltaShift
All	N1	$N1_DeltaShift
All	N2	$N2_DeltaShift
All	N3	$N3_DeltaShift
All	N4	$N4_DeltaShift
All	N6	$N6_DeltaShift
All	N7	$N7_DeltaShift
All	N9	$N9_DeltaShift

DA	C1'	$C1p_DeltaShift
DA	C2	$C2_DeltaShift
DA	C2'	$C2p_DeltaShift
DA	C3'	$C3p_DeltaShift
DA	C4'	$C4p_DeltaShift
DA	C5'	$C5p_DeltaShift
DA	C8	$C8_DeltaShift
DA	H1'	$H1p_DeltaShift
DA	H2	$H2_DeltaShift
DA	H2'	$H2p_DeltaShift
DA	H2''	$H2pp_DeltaShift
DA	H3'	$H3p_DeltaShift
DA	H4'	$H4p_DeltaShift
DA	H5'	$H5p_DeltaShift
DA	H5''	$H5pp_DeltaShift
DA	H61	$H61_DeltaShift
DA	H62	$H62_DeltaShift
DA	H8	$H8_DeltaShift
DA	N1	$N1_DeltaShift
DA	N3	$N3_DeltaShift
DA	N6	$N6_DeltaShift
DA	N9	$N9_DeltaShift

DC	C1'	$C1p_DeltaShift
DC	C2'	$C2p_DeltaShift
DC	C3'	$C3p_DeltaShift
DC	C4'	$C4p_DeltaShift
DC	C5	$C5_DeltaShift
DC	C5'	$C5p_DeltaShift
DC	C6	$C6_DeltaShift
DC	H1'	$H1p_DeltaShift
DC	H2'	$H2p_DeltaShift
DC	H2''	$H2pp_DeltaShift
DC	H3'	$H3p_DeltaShift
DC	H4'	$H4p_DeltaShift
DC	H41	$H41_DeltaShift
DC	H42	$H42_DeltaShift
DC	H5	$H5_DeltaShift
DC	H5'	$H5p_DeltaShift
DC	H5''	$H5pp_DeltaShift
DC	H6	$H6_DeltaShift
DC	N4	$N4_DeltaShift

DG	C1'	$C1p_DeltaShift
DG	C2'	$C2p_DeltaShift
DG	C3'	$C3p_DeltaShift
DG	C4'	$C4p_DeltaShift
DG	C5'	$C5p_DeltaShift
DG	C8	$C8_DeltaShift
DG	H1	$H1_DeltaShift
DG	H1'	$H1p_DeltaShift
DG	H2'	$H2p_DeltaShift
DG	H2''	$H2pp_DeltaShift
DG	H21	$H21_DeltaShift
DG	H22	$H22_DeltaShift
DG	H3'	$H3p_DeltaShift
DG	H4'	$H4p_DeltaShift
DG	H5'	$H5p_DeltaShift
DG	H5''	$H5pp_DeltaShift
DG	H8	$H8_DeltaShift
DG	N1	$N1_DeltaShift
DG	N2	$N2_DeltaShift
DG	N7	$N7_DeltaShift
DG	N9	$N9_DeltaShift

DT	C1'	$C1p_DeltaShift
DT	C2'	$C2p_DeltaShift
DT	C3'	$C3p_DeltaShift
DT	C4'	$C4p_DeltaShift
DT	C5'	$C5p_DeltaShift
DT	C6	$C6_DeltaShift
DT	C7	$C7_DeltaShift
DT	H1'	$H1p_DeltaShift
DT	H2'	$H2p_DeltaShift
DT	H2''	$H2pp_DeltaShift
DT	H3	$H3_DeltaShift
DT	H3'	$H3p_DeltaShift
DT	H4'	$H4p_DeltaShift
DT	H5'	$H5p_DeltaShift
DT	H5''	$H5pp_DeltaShift
DT	H6	$H6_DeltaShift
DT	H7	$H7_DeltaShift
DT	H71	$H71_DeltaShift
DT	H72	$H72_DeltaShift
DT	H73	$H73_DeltaShift
DT	N3	$N3_DeltaShift
