# Data: summary of available datasets for 4020 3D visualization
# Schema: bmrb-summary
# Attributes: Entity_assembly_name; Entity_assembly_ID; name; data_source; y_attribute
# Peptide-CGI version: 11.7.0TRx1
# Generation date: May 29, 2009 3:58:29 PM
#
#EA 1 (polypeptide(L))	1	Phi angle lower bound	4020ta-phi1	$Torsion_angle_lower_bound
#EA 1 (polypeptide(L))	1	Phi angle upper bound	4020ta-phi1	$Torsion_angle_upper_bound
EA 1 (polypeptide(L))	1	Phi angle lower/upper/avg	4020ta-phi1	$Torsion_angle_lower_bound

#EA 1 (polypeptide(L))	1	Psi angle lower bound	4020ta-psi1	$Torsion_angle_lower_bound
#EA 1 (polypeptide(L))	1	Psi angle upper bound	4020ta-psi1	$Torsion_angle_upper_bound
EA 1 (polypeptide(L))	1	Psi angle lower/upper/avg	4020ta-psi1	$Torsion_angle_lower_bound

#EA 1 (polypeptide(L))	1	Omega angle lower bound	4020ta-om1	$Torsion_angle_lower_bound
#EA 1 (polypeptide(L))	1	Omega angle upper bound	4020ta-om1	$Torsion_angle_upper_bound
EA 1 (polypeptide(L))	1	Omega angle lower/upper/avg	4020ta-om1	$Torsion_angle_lower_bound

#EA 1 (polypeptide(L))	1	Chi-1 angle lower/upper/avg bound	4020ta-ch11	$Torsion_angle_lower_bound
#EA 1 (polypeptide(L))	1	Chi-1 angle upper bound	4020ta-ch11	$Torsion_angle_upper_bound
EA 1 (polypeptide(L))	1	Chi-1 angle lower/upper/avg	4020ta-ch11	$Torsion_angle_lower_bound

#EA 1 (polypeptide(L))	1	Other angle lower bound	4020ta-o1	$Torsion_angle_lower_bound
#EA 1 (polypeptide(L))	1	Other angle upper bound	4020ta-o1	$Torsion_angle_upper_bound
EA 1 (polypeptide(L))	1	Other angle lower/upper/avg	4020ta-o1	$Torsion_angle_lower_bound
