934526312                                   Total      252     846
934526552                                   Total      214     800
934526804                                   Total      212     825
934527052                                   Total      238     855
934527292                                   Total      251     881
934527532                                   Total      230     848
934527792                                   Total      230     847
934528032                                   Total      258     855
934528278                                   Total      267     857
934528559                                   Total      278     868
934528811                                   Total      266     849
934529051                                   Total      274     847
934529291                                   Total      274     858
934529552                                   Total      269     859
934529802                                   Total      266     856
934530042                                   Total      261     851
934530282                                   Total      242     823
934530541                                   Total      238     816
934530781                                   Total      232     810
934531021                                   Total      220     807
934531278                                   Total      226     810
934531529                                   Total      227     815
934531769                                   Total      226     815
934532035                                   Total      228     817
934532308                                   Total      228     817
934532549                                   Total      227     816
934532789                                   Total      226     815
934533035                                   Total      226     815
934533288                                   Total      226     815
934533528                                   Total      226     815
934533768                                   Total      226     814
934534025                                   Total      228     815
934534274                                   Total      229     815
934534514                                   Total      228     814
934534754                                   Total      228     814
934535023                                   Total      228     814
934535263                                   Total      228     814
934535511                                   Total      228     814
934535783                                   Total      227     813
934536044                                   Total      228     814
934536284                                   Total      228     814
934536524                                   Total      226     813
934536787                                   Total      224     812
934537028                                   Total      222     811
934537268                                   Total      221     809
934537510                                   Total      224     810
934537765                                   Total      224     811
934538006                                   Total      224     812
934538247                                   Total      224     812
934538497                                   Total      223     812
934538745                                   Total      223     811
934538986                                   Total      223     811
934539261                                   Total      226     812
934539517                                   Total      226     812
934539791                                   Total      228     813
934540036                                   Total      228     813
934540288                                   Total      228     812
934540530                                   Total      219     799
934540770                                   Total      228     811
934541011                                   Total      228     811
934541254                                   Total      228     811
934541494                                   Total      228     810
934541734                                   Total      227     809
934541974                                   Total      228     810
934542216                                   Total      228     810
934542456                                   Total      230     811
934542703                                   Total      230     811
934542958                                   Total      230     811
934543207                                   Total      230     811
934543447                                   Total      230     811
934543687                                   Total      231     812
934543941                                   Total      230     812
934544181                                   Total      230     812
934544421                                   Total      230     812
934544661                                   Total      230     812
934544915                                   Total      216     812
934545155                                   Total      202     812
934545395                                   Total      202     812
934545639                                   Total      202     812
934545884                                   Total      201     812
934546124                                   Total      200     811
934546379                                   Total      200     812
934546643                                   Total      199     811
934546884                                   Total      199     811
934547125                                   Total      199     811
934547365                                   Total      199     811
934547624                                   Total      200     811
934547864                                   Total      200     811
934548104                                   Total      200     811
934548346                                   Total      200     811
934548592                                   Total      206     815
934548832                                   Total      222     822
934549073                                   Total      231     831
934549322                                   Total      249     839
934549574                                   Total      261     848
934549823                                   Total      267     861
934550091                                   Total      267     861
934550370                                   Total      265     860
934550611                                   Total      261     857
934550851                                   Total      259     857
934551102                                   Total      250     862
934551363                                   Total      257     863
934551603                                   Total      254     866
934551843                                   Total      256     873
934552119                                   Total      255     880
934552359                                   Total      249     888
934552600                                   Total      244     892
934552844                                   Total      240     891
934553104                                   Total      242     893
934553344                                   Total      242     894
934553614                                   Total      238     898
934553875                                   Total      246     905
934554126                                   Total      240     908
934554367                                   Total      241     915
934554610                                   Total      238     921
934554874                                   Total      240     926
934555115                                   Total      239     930
934555355                                   Total      238     934
934555616                                   Total      233     941
934555864                                   Total      231     949
934556105                                   Total      224     952
934556345                                   Total      224     950
934556619                                   Total      225     961
934556859                                   Total      227     970
934557112                                   Total      218     973
934557375                                   Total      226     976
934557634                                   Total      228     976
934557874                                   Total      224     972
934558114                                   Total      220     970
934558380                                   Total      217     968
934558621                                   Total      216     971
934558862                                   Total      224     978
934559110                                   Total      217     979
934559372                                   Total      204     978
934559612                                   Total      190     980
934559852                                   Total      215     980
934560099                                   Total      218     985
934560357                                   Total      214     986
934560597                                   Total      210     986
